Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Abbreviation
Belgium,100.0,105.0,110,120,127,126,126,108,108,99,101,106,107.0,97.0,BEL
Bulgaria,128.0,152.0,160,154,154,134,121,112,84,80,69,75,72.0,64.0,BGR
Czechia,87.0,88.0,76,82,78,65,59,50,40,34,33,39,39.0,49.0,CZE
Denmark,37.0,43.0,40,46,41,40,45,46,52,54,54,56,44.0,43.0,DNK
Germany,759.0,657.0,582,543,509,510,508,564,532,479,450,586,547.0,484.0,DEU
Estonia,23.0,23.0,17,15,14,14,10,10,10,11,8,10,11.0,12.0,EST
Ireland,114.0,114.0,111,103,84,75,71,63,53,48,48,64,47.0,38.0,IRL
Greece,114.0,143.0,193,232,247,223,198,174,154,145,138,152,139.0,117.0,GRC
Spain,879.0,844.0,830,879,848,744,689,619,559,528,528,644,540.0,464.0,ESP
France,650.0,645.0,619,657,690,726,755,730,719,711,682,742,703.0,681.0,FRA
Croatia,52.0,74.0,78,80,89,87,78,73,61,49,43,46,46.0,38.0,HRV
Italy,825.0,903.0,934,1010,1131,1136,1102,1016,1013,972,911,959,962.0,800.0,ITA
Cyprus,7.0,9.0,12,15,18,17,14,13,13,12,10,11,12.0,10.0,CYP
Latvia,50.0,46.0,38,32,27,23,21,22,18,16,15,16,16.0,15.0,LVA
Lithuania,56.0,65.0,49,45,39,34,30,29,25,21,25,31,26.0,20.0,LTU
Luxembourg,3.0,2.0,2,3,3,4,3,3,4,3,4,5,5.0,4.0,LUX
Hungary,136.0,134.0,125,138,129,108,97,82,67,63,73,83,70.0,66.0,HUN
Malta,4.0,4.0,4,4,4,4,4,3,4,3,3,4,4.0,3.0,MLT
Netherlands,74.0,82.0,77,85,108,103,93,91,84,84,93,91,60.0,63.0,NLD
Austria,62.0,60.0,56,54,59,66,65,69,62,55,53,72,63.0,64.0,AUT
Poland,486.0,537.0,529,528,529,491,465,381,311,264,241,273,289.0,230.0,POL
Portugal,109.0,112.0,116,137,137,117,101,104,86,76,68,91,81.0,70.0,PRT
Romania,351.0,399.0,420,411,406,410,399,363,314,282,264,249,226.0,224.0,ROU
Slovenia,16.0,16.0,16,18,19,18,18,16,12,11,10,11,10.0,11.0,SVN
Slovakia,91.0,109.0,103,98,100,89,77,62,58,51,50,52,50.0,47.0,SVK
Finland,50.0,46.0,44,45,49,56,54,52,49,42,40,47,46.0,47.0,FIN
Sweden,87.0,72.0,68,73,70,70,68,64,61,63,59,67,55.0,51.0,SWE
Iceland,3.0,3.0,2,2,2,2,2,1,1,2,2,2,2.0,2.0,ISL
Norway,29.0,35.0,32,32,36,36,38,41,33,35,33,37,39.0,35.0,NOR
Switzerland,nan,50.0,54,51,56,56,53,55,55,50,48,49,nan,nan,CHE
Montenegro,nan,nan,16,16,17,15,15,15,14,14,15,18,nan,nan,MNE
North Macedonia,71.0,71.0,70,73,66,65,68,64,59,55,44,48,nan,nan,MKD
Serbia,nan,185.0,189,181,161,158,149,128,122,108,102,108,97.0,76.0,SRB
TÃ¼rkiye,1861.0,1637.0,1437,1472,1311,1310,1273,1333,1324,1375,1633,1924,nan,nan,TUR
