name,abundance,abbreviation
European Union - 27 countries (from 2020),11.1,EU
TÃ¼rkiye,38.3,TUR
Spain,21.9,ESP
Iceland,19.1,ISL
Romania,18.1,ROU
Portugal,17.4,PRT
Malta,17.0,MLT
Italy,15.0,ITA
Bulgaria,12.9,BGR
North Macedonia,12.5,MKD
Estonia,12.0,EST
Norway,11.7,NOR
Hungary,11.4,HUN
Belgium,9.8,BEL
Finland,9.5,FIN
Germany,9.5,DEU
Greece,9.0,GRC
France,8.8,FRA
Netherlands,8.7,NLD
Latvia,8.5,LVA
Serbia,8.4,SRB
Denmark,8.1,DNK
Austria,7.0,AUT
Cyprus,6.8,CYP
Ireland,6.7,IRL
Slovakia,6.7,SVK
Sweden,6.7,SWE
Luxembourg,6.1,LUX
Lithuania,5.9,LTU
Switzerland,5.6,CHE
Czechia,5.5,CZE
Poland,5.4,POL
Montenegro,5.1,MNE
Slovenia,4.4,SVN
Croatia,2.8,HRV
