Country,Abbreviation,neet,poverty
Belgium,BEL,11.8,23.1
Bulgaria,BGR,18.9,41.3
Czechia,CZE,10.0,12.2
Denmark,DNK,9.8,35.9
Germany,DEU,9.6,24.5
Estonia,EST,10.5,20.1
Ireland,IRL,12.8,29.7
Greece,GRC,21.0,45.7
Spain,ESP,16.4,35.2
France,FRA,13.2,22.1
Croatia,HRV,17.9,24.2
Italy,ITA,24.2,35.0
Cyprus,CYP,17.6,27.7
Latvia,LVA,12.3,22.4
Lithuania,LTU,10.2,30.1
Luxembourg,LUX,6.6,23.6
Hungary,HUN,11.2,28.8
Malta,MLT,8.8,15.4
Netherlands,NLD,6.5,25.8
Austria,AUT,8.8,21.4
Poland,POL,13.0,21.5
Portugal,PRT,10.6,27.5
Romania,ROU,22.1,41.1
Slovenia,SVN,7.9,16.3
Slovakia,SVK,15.1,17.9
Finland,FIN,10.4,23.8
Sweden,SWE,6.4,27.2
Iceland,ISL,4.1,17.5
Norway,NOR,7.7,31.7
Switzerland,CHE,7.2,16.1
Montenegro,MNE,21.4,37.1
North Macedonia,MKD,31.1,44.4
Serbia,SRB,22.1,38.3
TÃ¼rkiye,TUR,27.5,43.0
