Territorio,2009,2009_K,2009_perc,2010,2010_K,2010_perc,2011,2011_K,2011_perc,2012,2012_K,2012_perc,2013,2013_K,2013_perc,2014,2014_K,2014_perc,2015,2015_K,2015_perc,2016,2016_K,2016_perc,2017,2017_K,2017_perc,2018,2018_K,2018_perc,2019,2019_K,2019_perc,2020,2020_K,2020_perc
Italia,1923599,1923.6,20.5,2052226,2052.2,22.0,2097124,2097.1,22.5,2204066,2204.1,23.8,2404571,2404.6,26.0,2413297,2413.3,26.2,2349101,2349.1,25.7,2214129,2214.1,24.3,2188707,2188.7,24.1,2115922,2115.9,23.4,2003104,2003.1,22.2,2100232,2100.2,23.3
Piemonte,96410,96.4,15.9,102032,102.0,16.9,97816,97.8,16.3,107910,107.9,18.0,134815,134.8,22.5,126683,126.7,21.3,118744,118.7,20.0,118489,118.5,20.0,118852,118.9,20.0,105333,105.3,17.7,99047,99.0,16.6,118615,118.6,19.8
Valle d'Aosta,2582,2.6,14.6,2463,2.5,14.0,2666,2.7,15.2,2376,2.4,13.5,3358,3.4,19.1,3328,3.3,19.1,3417,3.4,19.5,3096,3.1,17.7,2763,2.8,15.7,2812,2.8,16.1,2603,2.6,14.7,2974,3.0,16.8
Liguria,27844,27.8,14.4,31251,31.3,16.1,30291,30.3,15.4,34963,35.0,17.7,42102,42.1,21.1,43089,43.1,21.6,40881,40.9,20.5,34859,34.9,17.6,41584,41.6,20.9,40437,40.4,20.1,35729,35.7,17.7,40656,40.7,20.1
Lombardia,196688,196.7,14.2,215079,215.1,15.6,209315,209.3,15.1,223615,223.6,16.0,256185,256.2,18.3,255516,255.5,18.2,261916,261.9,18.6,239413,239.4,16.9,225647,225.6,15.9,216846,216.8,15.1,213986,214.0,14.8,254688,254.7,17.4
Trentino Alto Adige,16256,16.3,9.9,19207,19.2,11.7,18220,18.2,11.0,21250,21.2,12.8,21942,21.9,13.1,23963,24.0,14.3,21980,22.0,13.0,21461,21.5,12.6,24409,24.4,14.3,21718,21.7,12.6,19190,19.2,11.1,23410,23.4,13.5
Veneto,89178,89.2,12.4,108303,108.3,15.2,107839,107.8,15.2,115424,115.4,16.4,128532,128.5,18.2,118255,118.3,16.8,118990,119.0,17.0,109680,109.7,15.6,106765,106.8,15.2,104307,104.3,14.8,88543,88.5,12.4,104942,104.9,14.7
Friuli-Venezia Giulia,21626,21.6,13.3,22422,22.4,13.9,25781,25.8,16.1,27975,28.0,17.6,27292,27.3,17.1,29119,29.1,18.3,29234,29.2,18.5,28006,28.0,17.8,26772,26.8,16.9,23278,23.3,14.5,22165,22.2,13.7,21949,21.9,13.6
Emilia-Romagna,71335,71.3,12.4,88532,88.5,15.3,86770,86.8,15.0,91101,91.1,15.7,110244,110.2,18.9,120263,120.3,20.6,111417,111.4,19.1,92047,92.0,15.7,95366,95.4,16.1,92772,92.8,15.4,87109,87.1,14.3,98444,98.4,15.9
Toscana,64019,64.0,12.7,78492,78.5,15.6,81184,81.2,16.1,91047,91.0,18.1,98902,98.9,19.7,100603,100.6,20.1,92333,92.3,18.6,89087,89.1,18.0,83200,83.2,16.7,81145,81.1,16.2,79257,79.3,15.7,85899,85.9,17.0
Umbria,18383,18.4,14.1,19934,19.9,15.4,19781,19.8,15.3,23129,23.1,18.1,23996,24.0,18.9,28961,29.0,23.0,25473,25.5,20.5,21814,21.8,17.7,23821,23.8,19.5,23138,23.1,19.0,18220,18.2,15.1,22500,22.5,18.7
Marche,38076,38.1,16.1,32175,32.2,13.9,35134,35.1,15.4,40015,40.0,17.6,45575,45.6,20.2,45323,45.3,20.3,43931,43.9,19.8,41803,41.8,19.2,41427,41.4,19.0,36221,36.2,16.7,33342,33.3,15.4,38754,38.8,17.9
Lazio,136481,136.5,16.3,156248,156.2,18.6,181017,181.0,21.5,182709,182.7,21.5,201854,201.9,23.3,211245,211.2,24.3,205424,205.4,23.8,192724,192.7,22.5,185338,185.3,21.7,191092,191.1,22.4,174788,174.8,20.7,188516,188.5,22.4
Abruzzo,40334,40.3,18.5,39980,40.0,18.6,37866,37.9,17.7,42053,42.1,19.9,47700,47.7,22.9,49425,49.4,24.2,54369,54.4,26.9,48925,48.9,24.7,42725,42.7,22.0,40093,40.1,20.7,43146,43.1,22.5,39230,39.2,20.7
Molise,10688,10.7,19.7,10617,10.6,19.9,12018,12.0,22.9,12526,12.5,24.2,14906,14.9,29.2,14084,14.1,28.1,12412,12.4,25.0,12839,12.8,26.3,12643,12.6,26.1,12696,12.7,26.5,11596,11.6,24.7,12875,12.9,28.3
Campania,371515,371.5,32.5,384814,384.8,34.0,391986,392.0,34.9,392441,392.4,35.2,401197,401.2,36.2,397336,397.3,36.3,382289,382.3,35.3,378356,378.4,35.3,383128,383.1,36.0,379293,379.3,35.9,356949,356.9,34.3,354315,354.3,34.5
Puglia,211178,211.2,28.0,213235,213.2,28.8,212397,212.4,29.0,225016,225.0,31.1,243607,243.6,34.1,234560,234.6,33.4,230263,230.3,33.1,214607,214.6,31.2,226814,226.8,33.3,205345,205.3,30.5,196998,197.0,29.7,192164,192.2,29.4
Basilicata,25142,25.1,23.7,29644,29.6,28.4,27698,27.7,26.9,29726,29.7,29.4,31608,31.6,31.8,29117,29.1,29.8,27649,27.6,28.7,25043,25.0,26.4,27453,27.5,29.2,24198,24.2,26.1,23577,23.6,26.0,23307,23.3,26.3
Calabria,107357,107.4,28.1,117559,117.6,31.3,116620,116.6,31.5,122914,122.9,33.8,128214,128.2,35.8,133499,133.5,38.0,138428,138.4,39.9,130743,130.7,38.2,123045,123.0,36.7,119001,119.0,36.2,113036,113.0,35.1,108087,108.1,34.6
Sicilia,302689,302.7,32.0,311522,311.5,33.2,329706,329.7,35.4,345034,345.0,37.4,361527,361.5,39.5,364183,364.2,40.3,352813,352.8,39.3,338358,338.4,38.1,328783,328.8,37.6,332163,332.2,38.6,320712,320.7,38.0,310617,310.6,37.5
Sardegna,75816,75.8,27.3,68717,68.7,25.4,73019,73.0,27.6,72842,72.8,28.2,81016,81.0,32.0,84744,84.7,34.2,77138,77.1,31.8,72780,72.8,30.5,68173,68.2,29.1,64035,64.0,27.7,63112,63.1,27.7,58292,58.3,26.1
